22,343
22,1078
45,59
55,20
55,1320
59,45
87,1480
889,1480
1122,1480
1197,1480
1283,1480
1502,1480
1656,1480
1779,1480
104,84
106,1783
108,1474
214,1474
689,1474
751,1474
1096,1474
118,138
118,811
118,1287
500,138
500,811
500,1287
138,20
138,1320
811,20
811,1320
1287,20
1287,1320
155,1412
169,1412
163,1457
636,1457
170,482
188,108
188,214
188,689
188,751
188,1096
1132,108
1132,214
1132,689
1132,751
1132,1096
202,119
209,172
240,274
246,1251
262,119
270,1474
303,583
303,584
303,1048
303,1208
336,1480
342,893
342,1238
342,1479
342,1520
342,1769
502,893
502,1238
502,1479
502,1520
502,1769
1647,893
1647,1238
1647,1479
1647,1520
1647,1769
1719,893
1719,1238
1719,1479
1719,1520
1719,1769
343,265
343,272
1078,265
1078,272
366,1009
366,1067
377,1474
1391,1474
415,415
415,1598
1598,415
1598,1598
425,481
460,481
442,1226
447,159
452,213
453,485
453,1049
453,1304
453,1815
511,58
511,251
511,495
511,657
511,862
511,945
511,1004
511,1101
511,1177
511,1478
511,1650
511,1792
516,313
516,1265
516,1443
523,20
523,1320
1233,20
1233,1320
563,583
563,584
563,1048
563,1208
599,583
599,584
599,1048
599,1208
1545,583
1545,584
1545,1048
1545,1208
578,265
578,272
581,1474
582,1309
590,105
590,285
590,363
590,427
590,477
590,693
590,756
590,794
590,900
590,1275
590,1363
590,1411
590,1488
722,105
722,285
722,363
722,427
722,477
722,693
722,756
722,794
722,900
722,1275
722,1363
722,1411
722,1488
817,105
817,285
817,363
817,427
817,477
817,693
817,756
817,794
817,900
817,1275
817,1363
817,1411
817,1488
880,105
880,285
880,363
880,427
880,477
880,693
880,756
880,794
880,900
880,1275
880,1363
880,1411
880,1488
882,105
882,285
882,363
882,427
882,477
882,693
882,756
882,794
882,900
882,1275
882,1363
882,1411
882,1488
894,105
894,285
894,363
894,427
894,477
894,693
894,756
894,794
894,900
894,1275
894,1363
894,1411
894,1488
917,105
917,285
917,363
917,427
917,477
917,693
917,756
917,794
917,900
917,1275
917,1363
917,1411
917,1488
1077,105
1077,285
1077,363
1077,427
1077,477
1077,693
1077,756
1077,794
1077,900
1077,1275
1077,1363
1077,1411
1077,1488
1553,105
1553,285
1553,363
1553,427
1553,477
1553,693
1553,756
1553,794
1553,900
1553,1275
1553,1363
1553,1411
1553,1488
1767,105
1767,285
1767,363
1767,427
1767,477
1767,693
1767,756
1767,794
1767,900
1767,1275
1767,1363
1767,1411
1767,1488
598,265
598,272
611,108
611,214
611,689
611,751
611,1096
1492,108
1492,214
1492,689
1492,751
1492,1096
698,872
715,265
715,272
752,377
752,1391
770,58
770,251
770,495
770,657
770,862
770,945
770,1004
770,1101
770,1177
770,1478
770,1650
770,1792
800,1480
833,806
915,806
1496,806
893,58
893,251
893,495
893,657
893,862
893,945
893,1004
893,1101
893,1177
893,1478
893,1650
893,1792
1238,58
1238,251
1238,495
1238,657
1238,862
1238,945
1238,1004
1238,1101
1238,1177
1238,1478
1238,1650
1238,1792
1479,58
1479,251
1479,495
1479,657
1479,862
1479,945
1479,1004
1479,1101
1479,1177
1479,1478
1479,1650
1479,1792
1520,58
1520,251
1520,495
1520,657
1520,862
1520,945
1520,1004
1520,1101
1520,1177
1520,1478
1520,1650
1520,1792
1769,58
1769,251
1769,495
1769,657
1769,862
1769,945
1769,1004
1769,1101
1769,1177
1769,1478
1769,1650
1769,1792
907,1610
953,1610
931,950
931,957
931,974
931,1408
937,1432
937,1788
937,1825
1776,1432
1776,1788
1776,1825
940,1480
988,1042
1007,377
1007,1391
1040,1610
1046,1465
1052,1627
1299,1627
1085,1474
1097,58
1097,251
1097,495
1097,657
1097,862
1097,945
1097,1004
1097,1101
1097,1177
1097,1478
1097,1650
1097,1792
1484,58
1484,251
1484,495
1484,657
1484,862
1484,945
1484,1004
1484,1101
1484,1177
1484,1478
1484,1650
1484,1792
1219,1480
1221,1480
1268,1480
1667,1480
1270,1480
1273,1065
1280,1480
1282,138
1282,811
1282,1287
1319,1715
1326,1040
1340,138
1340,811
1340,1287
1364,20
1364,1320
1369,1052
1369,1299
1432,937
1432,1776
1788,937
1788,1776
1825,937
1825,1776
1470,105
1470,285
1470,363
1470,427
1470,477
1470,693
1470,756
1470,794
1470,900
1470,1275
1470,1363
1470,1411
1470,1488
1475,1474
1480,108
1480,214
1480,689
1480,751
1480,1096
1501,108
1501,214
1501,689
1501,751
1501,1096
1515,108
1515,214
1515,689
1515,751
1515,1096
1558,138
1558,811
1558,1287
1572,1300
1587,1364
1610,1040
1626,893
1626,1238
1626,1479
1626,1520
1626,1769
1632,482
1643,35
1643,1532
1645,1474
1651,1610
1674,1480
1678,485
1678,1049
1678,1304
1678,1815
1683,1474
1704,87
1704,889
1704,1122
1704,1197
1704,1283
1704,1502
1704,1656
1704,1779
1707,1715
1718,20
1718,1320
1789,322
1789,979
1796,71
1796,617
1796,997
1796,1222
1796,1482
